Chr17	128811306	129948352	Chr20	10650052	10086547
Chr20	15864237	19849845	Chr3	137128795	137743707
Chr18	1409667	1616124	Chr9	3467447	3769042
Chr20	111790731	115533431	Chr3	121381054	119829296
Chr20	9548610	10024051	Chr3	125514864	125176559
Chr18	19446268	20175857	Chr8	37485938	37711047
Chr1	8947568	9810010	Chr17	4898276	4267138
Chr19	58187025	64417756	Chr9	54150503	42931042
Chr4	127672703	127908625	Chr5	91047109	91391086
Chr16	67422402	76935928	Chr2	101911624	102116809
Chr18	132909622	133552937	Chr8	48844298	48523351
Chr12	39139649	39426443	Chr2	43973757	43697080
Chr12	109961104	111979472	Chr2	94351295	95848835
Chr10	95764052	95853530	Chr8	10392801	10246017
Chr20	24853391	25659581	Chr7	7606962	7701837
Chr11	64493678	66430450	Chr13	1803001	1968477
Chr1	93738986	94397170	Chr3	52127108	44320336
Chr15	608569	780827	Chr7	65288000	66635759
Chr3	126456322	128013787	Chr8	38252720	39557713
Chr15	2296843	4006735	Chr20	194833	854518
Chr3	134824140	135413193	Chr5	56414470	46857583
Chr1	93414566	94846026	Chr13	56188060	46419220
Chr1	5947689	7155722	Chr17	28479653	24439665
Chr13	5377208	6589236	Chr18	3188948	2331828
Chr13	34268842	39833346	Chr5	95042019	100098166
Chr11	8679853	12489570	Chr7	1001166	2271076
Chr15	6507024	6811412	Chr5	6856747	6593130
Chr13	3320359	3539746	Chr3	1786088	1676719
Chr15	139588704	141439476	Chr5	102189757	103002109
Chr19	140402716	141192431	Chr6	59003847	68860331
Chr14	87208252	89080004	Chr4	77625538	76272120
Chr15	15642766	17391472	Chr3	112811067	95090249
Chr6	12936061	13206779	Chr9	11386595	12075804
Chr5	9746784	11217802	Chr6	114807461	115460596
Chr11	149019294	149231971	Chr3	44316682	47103818
Chr11	15533759	24403172	Chr15	9571667	7051409
Chr12	94704659	96233136	Chr13	4646549	4794432
Chr20	106560616	110284686	Chr3	123513057	121696344
Chr1	99087793	99285263	Chr1	99478895	99840376
Chr12	119074980	119743621	Chr18	6372128	5302975
Chr15	608569	780827	Chr17	38848556	35937288
Chr13	7564891	9909872	Chr3	6920023	5080384
Chr1	7348387	8836913	Chr7	18035852	15164357
Chr11	135328841	135740247	Chr14	8190505	8619889
Chr14	3420689	39290431	Chr4	2161111	42426367
Chr10	92747653	97652390	Chr6	109381793	111125559
Chr14	142108233	142344155	Chr5	91047109	91391086
Chr2	97172782	97446476	Chr6	14063458	15825630
Chr10	103924014	105532085	Chr11	131045332	128401606
Chr16	150658527	154764601	Chr6	111614991	115460596
Chr14	73153723	143183535	Chr4	69365288	128748005
Chr11	135346384	137298303	Chr4	6835270	5158411
Chr1	66726631	66985551	Chr10	59767180	59373423
Chr11	133647051	134478601	Chr13	57105397	56416913
Chr17	52388730	52532372	Chr17	76681468	74116631
Chr16	146394297	147827205	Chr18	128754489	130932233
Chr15	157691979	157856503	Chr9	109596659	109520275
Chr13	54711300	56909579	Chr3	65576144	70860588
Chr1	103530435	103774830	Chr11	137983582	137685637
Chr12	97436626	99983202	Chr14	94789411	90146503
Chr17	72671126	78019199	Chr7	57605870	60488791
Chr14	798955	1226457	Chr7	3971575	4827957
Chr5	109078285	109499890	Chr9	113180597	113927561
Chr13	51021692	56307813	Chr14	407530	121579
Chr16	144902511	145260532	Chr20	124742799	127006242
Chr10	1926459	3312707	Chr13	24208396	20505114
Chr10	5041993	6024974	Chr3	137703846	138649512
Chr16	150409696	150647635	Chr6	10142150	9954885
Chr1	95475486	95903686	Chr14	30385887	26078813
Chr2	17589548	26202729	Chr6	1132088	77715
Chr1	38154919	41279534	Chr15	15571252	14856521
Chr15	9333847	11779689	Chr16	153613541	154764601
Chr16	2457693	2601587	Chr2	97439864	97331881
Chr12	85015429	87724859	Chr8	27102092	26546237
Chr14	464532	2926077	Chr4	68966	2213478
Chr16	142992271	143737125	Chr18	126861825	128335302
Chr1	111639648	112326432	Chr15	126946129	128637577
Chr1	1237739	1742325	Chr15	11739269	12438681
Chr16	22136953	23873279	Chr8	48935165	49709182
Chr15	19373962	19699997	Chr9	110650314	110555104
Chr12	28050948	30264917	Chr2	26170324	24778563
Chr17	28479653	33516733	Chr7	28709369	23120071
Chr19	12098984	12375575	Chr2	575263	736634
